"","Maternal Cortisol and Child EED Biomarkers","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln Cortisol (ug/dL)","Ln Lactulose Age 3 months (mmol/L)","290","2.66","3.29","-1.14","-0.85","0.28 (0, 0.56)","0.05"
"4","","Ln Mannitol Age 3 months (mmol/L)","291","2.66","3.29","1","1.13","0.13 (-0.02, 0.29)","0.1"
"5","","Ln MPO Age 3 months (ng/mL)","235","2.62","3.29","9.13","9.07","-0.06 (-0.28, 0.16)","0.6"
"6","","Ln AAT Age 3 months(mg/g)","282","2.62","3.29","-0.74","-0.74","-0.01 (-0.21, 0.2)","0.96"
"7","","Ln NEO Age 3 months (nmol/L)","236","2.62","3.29","6.9","6.95","0.05 (-0.09, 0.19)","0.5"
"8","","Ln Lactulose Age 14 months (mmol/L)","487","2.52","3.26","-1.25","-1.35","-0.11 (-0.27, 0.05)","0.19"
"9","","Ln Mannitol Age 14 months (mmol/L)","484","2.51","3.26","0.67","0.66","-0.01 (-0.17, 0.15)","0.91"
"10","","Ln MPO Age 14 months (ng/mL)","497","2.49","3.26","8.58","8.51","-0.07 (-0.22, 0.07)","0.34"
"11","","Ln AAT Age 14 months(mg/g)","503","2.5","3.26","-0.62","-0.79","-0.17 (-0.32, -0.01)","0.03"
"12","","Ln NEO Age 14 months (nmol/L)","443","2.5","3.26","6.88","6.83","-0.04 (-0.18, 0.09)","0.53"
"13","","Ln REG1β Age 14 months (µg/mL)","441","2.49","3.26","5.03","5.09","0.06 (-0.1, 0.21)","0.49"
"14","","Ln Lactulose 28 months (mmol/L)","520","2.52","3.27","-1.23","-1.28","-0.05 (-0.21, 0.11)","0.55"
"15","","Ln Mannitol Age 28 months (mmol/L)","521","2.52","3.27","1.3","1.29","-0.01 (-0.14, 0.12)","0.92"
"16","","Ln MPO Age 28 months (ng/mL)","522","2.53","3.27","8.17","8.23","0.05 (-0.14, 0.25)","0.61"
"17","","Ln AAT Age 28 months(mg/g)","525","2.53","3.27","-0.92","-0.94","-0.02 (-0.22, 0.19)","0.89"
"18","","Ln NEO Age 28 months (nmol/L)","527","2.53","3.27","5.97","5.86","-0.1 (-0.27, 0.06)","0.23"
