"","Maternal Cortisol and Child EED Biomarkers","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln Cortisol (ug/dL)","Ln Lactulose 3 months (mmol/L)","344","2.64","3.29","-0.6","-0.46","0.14 (-0.01, 0.29)","0.07","0.37","-1.14","-0.85","0.28 (0, 0.56)","0.05","0.39"
"4","","Ln Mannitol 3 months (mmol/L)","344","2.64","3.29","1.59","1.72","0.13 (-0.01, 0.27)","0.07","0.37","1","1.13","0.13 (-0.02, 0.29)","0.1","0.51"
"5","","Ln MPO Age 3 months (ng/mL)","283","2.62","3.29","8.67","8.77","0.1 (-0.07, 0.26)","0.25","0.58","9.13","9.07","-0.06 (-0.28, 0.16)","0.6","0.82"
"6","","Ln A1AT Age 3 months(mg/g)","283","2.62","3.29","-0.72","-0.74","-0.02 (-0.23, 0.18)","0.83","0.88","-0.74","-0.74","-0.01 (-0.21, 0.2)","0.96","0.96"
"7","","Ln NEO Age 3 months (nmol/L)","283","2.62","3.29","6.82","6.86","0.04 (-0.07, 0.15)","0.51","0.81","6.9","6.95","0.05 (-0.09, 0.19)","0.5","0.82"
"8","","Ln Lactulose 14 months (mmol/L)","488","2.52","3.26","-1.31","-1.41","-0.1 (-0.26, 0.06)","0.22","0.58","-1.25","-1.35","-0.11 (-0.27, 0.05)","0.19","0.74"
"9","","Ln Mannitol 14 months (mmol/L)","488","2.52","3.26","0.85","0.82","-0.03 (-0.18, 0.13)","0.75","0.88","0.67","0.66","-0.01 (-0.17, 0.15)","0.91","0.96"
"10","","Ln MPO Age 14 months (ng/mL)","504","2.5","3.26","8.61","8.54","-0.08 (-0.22, 0.07)","0.31","0.61","8.58","8.51","-0.07 (-0.22, 0.07)","0.34","0.82"
"11","","Ln A1AT Age 14 months(mg/g)","504","2.5","3.26","-0.74","-0.92","-0.19 (-0.34, -0.04)","0.02","0.24","-0.62","-0.79","-0.17 (-0.32, -0.01)","0.03","0.39"
"12","","Ln NEO Age 14 months (nmol/L)","504","2.5","3.26","6.83","6.74","-0.08 (-0.2, 0.04)","0.18","0.58","6.88","6.83","-0.04 (-0.18, 0.09)","0.53","0.82"
"13","","Ln REG1β Age 14 months (µg/mL)","503","2.5","3.26","5.03","4.99","-0.03 (-0.17, 0.1)","0.64","0.85","5.03","5.09","0.06 (-0.1, 0.21)","0.49","0.82"
"14","","Ln Lactulose 28 months (mmol/L)","522","2.52","3.27","-1.29","-1.27","0.01 (-0.17, 0.19)","0.9","0.9","-1.23","-1.28","-0.05 (-0.21, 0.11)","0.55","0.82"
"15","","Ln Mannitol 28 months (mmol/L)","522","2.52","3.27","1.4","1.43","0.02 (-0.12, 0.17)","0.78","0.88","1.3","1.29","-0.01 (-0.14, 0.12)","0.92","0.96"
"16","","Ln MPO Age 28 months (ng/mL)","528","2.53","3.27","7.79","7.67","-0.12 (-0.32, 0.08)","0.25","0.58","8.17","8.23","0.05 (-0.14, 0.25)","0.61","0.82"
"17","","Ln A1AT Age 28 months(mg/g)","528","2.53","3.27","-1.12","-1.18","-0.06 (-0.24, 0.11)","0.5","0.81","-0.92","-0.94","-0.02 (-0.22, 0.19)","0.89","0.96"
"18","","Ln NEO Age 28 months (nmol/L)","528","2.53","3.27","6.27","6.22","-0.05 (-0.23, 0.13)","0.57","0.83","5.97","5.86","-0.1 (-0.27, 0.06)","0.23","0.74"
